Cod;Ingredientes;Proteina;Gordura Total;Gordura Saturada;Gordura Trans;Fibra ;Sódio;Carboidrato;Referência;Unidade
1;Arroz, integral, cozido;2.59;1.00;0.30;;2.75;1.24;25.81;100;g
2;Arroz, integral, cru;7.32;1.86;0.30;;4.82;1.65;77.45;100;g
3;Arroz, tipo 1, cozido;2.52;0.23;0.20;;1.56;1.20;28.06;100;g
4;Arroz, tipo 1, cru;7.16;0.34;0.10;;1.64;1.02;78.76;100;g
5;Arroz, tipo 2, cozido;2.57;0.36;0.10;;1.07;1.96;28.19;100;g
6;Arroz, tipo 2, cru;7.24;0.28;0.10;;1.72;0.57;78.88;100;g
7;Aveia, flocos, crua;13.92;8.50;1.54;;9.13;4.63;66.64;100;g
8;Biscoito, doce, maisena;8.07;11.97;3.90;;2.10;352.03;75.23;100;g
9;Biscoito, doce, recheado com chocolate;6.40;19.58;6.20;;2.96;239.20;70.55;100;g
10;Biscoito, doce, recheado com morango;5.72;19.57;6.10;;1.53;229.82;71.01;100;g
11;Biscoito, doce, wafer, recheado de chocolate;5.56;24.67;6.50;;1.80;137.24;67.54;100;g
12;Biscoito, doce, wafer, recheado de morango;4.52;26.40;6.70;;0.82;119.90;67.35;100;g
13;Biscoito, salgado, cream cracker;10.06;14.44;4.40;;2.51;854.36;68.73;100;g
14;Bolo, mistura para;6.16;6.13;2.10;;1.70;462.88;84.71;100;g
15;Bolo, pronto, aipim;4.42;12.75;5.00;;0.69;111.01;47.86;100;g
16;Bolo, pronto, chocolate;6.22;18.47;5.50;;1.43;283.30;54.72;100;g
17;Bolo, pronto, coco;5.67;11.30;4.90;;1.06;190.34;52.28;100;g
18;Bolo, pronto, milho;4.80;12.42;4.50;;0.71;133.81;45.11;100;g
19;Canjica, branca, crua;7.20;0.97;0.30;;5.50;0.79;78.06;100;g
20;Canjica, com leite integral;2.36;1.24;0.60;;1.22;27.59;23.63;100;g
21;Cereais, milho, flocos, com sal;7.29;1.60;0.50;;5.29;271.74;80.84;100;g
22;Cereais, milho, flocos, sem sal;6.88;1.18;0.30;;1.84;30.97;80.45;100;g
23;Cereais, mingau, milho, infantil;6.43;1.09;0.30;;3.21;399.40;87.27;100;g
24;Cereais, mistura para vitamina, trigo, cevada e aveia;8.90;2.12;0.50;;4.98;1163.26;81.62;100;g
25;Cereal matinal, milho;7.16;0.96;0.36;;4.12;654.54;83.82;100;g
26;Cereal matinal, milho, açúcar;4.74;0.67;0.23;;2.11;405.31;88.84;100;g
27;Creme de arroz, pó;7.03;1.23;0.40;;1.07;1.03;83.87;100;g
28;Creme de milho, pó;4.82;1.64;0.30;;3.72;593.79;86.15;100;g
29;Curau, milho verde;2.36;1.64;0.82;;0.46;20.51;13.94;100;g
30;Curau, milho verde, mistura para;2.22;13.37;3.00;;2.52;222.93;79.82;100;g
31;Farinha, de arroz, enriquecida;1.27;0.30;0.20;;0.58;17.10;85.50;100;g
32;Farinha, de centeio, integral;12.52;1.75;0.30;;15.48;41.38;73.30;100;g
33;Farinha, de milho, amarela;7.19;1.47;0.40;;5.49;44.93;79.08;100;g
34;Farinha, de rosca;11.38;1.46;0.60;;4.82;332.50;75.79;100;g
35;Farinha, de trigo;9.79;1.37;0.31;;2.35;0.74;75.09;100;g
36;Farinha, láctea, de cereais;11.88;5.79;3.30;;1.94;125.07;77.77;100;g
37;Lasanha, massa fresca, cozida;5.81;1.16;0.60;;1.64;206.77;32.52;100;g
38;Lasanha, massa fresca, crua;7.01;1.34;0.50;;1.61;666.71;45.06;100;g
39;Macarrão, instantâneo;8.79;17.24;#N/A;;5.61;1515.53;62.43;100;g
40;Macarrão, trigo, cru;10.00;1.30;#N/A;;2.93;7.17;77.94;100;g
41;Macarrão, trigo, cru, com ovos;10.32;1.97;0.54;;2.30;14.74;76.62;100;g
42;Milho, amido, cru;0.60;Tr;#N/A;;0.74;8.08;87.15;100;g
43;Milho, fubá, cru;7.21;1.90;0.43;;4.71;Tr;78.87;100;g
44;Milho, verde, cru;6.59;0.61;0.20;;3.92;1.12;28.56;100;g
45;Milho, verde, enlatado, drenado;3.23;2.35;0.60;;4.64;260.35;17.14;100;g
46;Mingau tradicional, pó;0.58;0.37;0.10;;0.88;14.86;89.34;100;g
47;Pamonha, barra para cozimento, pré-cozida;2.55;4.85;0.50;;2.37;131.99;30.68;100;g
48;Pão, aveia, forma;12.35;5.69;1.10;;5.98;605.76;59.57;100;g
49;Pão, de soja;11.34;3.58;0.70;;5.71;662.54;56.51;100;g
50;Pão, glúten, forma;11.95;2.73;0.50;;2.48;22.05;44.12;100;g
51;Pão, milho, forma;8.30;3.11;0.60;;4.30;506.64;56.40;100;g
52;Pão, trigo, forma, integral;9.43;3.65;0.70;;6.88;506.10;49.94;100;g
53;Pão, trigo, francês;7.95;3.10;1.00;;2.31;647.67;58.65;100;g
54;Pão, trigo, sovado;8.40;2.84;0.80;;2.43;430.79;61.45;100;g
55;Pastel, de carne, cru;10.74;8.79;3.69;;1.04;1309.27;42.02;100;g
56;Pastel, de carne, frito;10.10;20.14;4.83;;0.99;1039.89;43.77;100;g
57;Pastel, de queijo, cru;9.85;9.63;#N/A;;1.11;984.57;45.95;100;g
58;Pastel, de queijo, frito;8.71;22.67;#N/A;;0.94;821.38;48.13;100;g
59;Pastel, massa, crua;6.90;5.48;2.10;;1.41;1344.20;57.38;100;g
60;Pastel, massa, frita;6.02;40.86;6.90;;1.31;1174.67;49.34;100;g
61;Pipoca, com óleo de soja, sem sal;9.93;15.94;2.36;;14.34;4.32;70.31;100;g
62;Polenta, pré-cozida;2.29;0.30;#N/A;;2.40;441.89;23.31;100;g
63;Torrada, pão francês;10.52;3.30;0.90;;3.40;829.49;74.56;100;g
64;Abóbora, cabotian, cozida;1.44;0.73;0.10;;2.46;1.45;10.76;100;g
65;Abóbora, cabotian, crua;1.75;0.54;0.12;;2.17;Tr;8.36;100;g
66;Abóbora, menina brasileira, crua;0.61;Tr;#N/A;;1.17;Tr;3.30;100;g
67;Abóbora, moranga, crua;0.96;0.06;#N/A;;1.70;Tr;2.67;100;g
68;Abóbora, moranga, refogada;0.39;0.80;0.12;;1.55;3.03;5.98;100;g
69;Abóbora, pescoço, crua;0.67;0.12;#N/A;;2.30;0.75;6.12;100;g
70;Abobrinha, italiana, cozida;1.13;0.20;0.10;;1.59;0.83;2.98;100;g
71;Abobrinha, italiana, crua;1.14;0.14;#N/A;;1.35;Tr;4.29;100;g
72;Abobrinha, italiana, refogada;1.07;0.82;0.13;;1.38;2.21;4.19;100;g
73;Abobrinha, paulista, crua;0.64;0.14;#N/A;;2.61;0.50;7.87;100;g
74;Acelga, crua;1.44;0.11;#N/A;;1.12;1.18;4.63;100;g
75;Agrião, cru;2.69;0.24;#N/A;;2.14;7.46;2.25;100;g
76;Aipo, cru;0.76;0.07;#N/A;;0.96;9.52;4.27;100;g
77;Alface, americana, crua;0.61;0.13;#N/A;;1.02;7.31;1.75;100;g
78;Alface, crespa, crua;1.35;0.16;#N/A;;1.83;3.38;1.70;100;g
79;Alface, lisa, crua;1.69;0.12;#N/A;;2.33;4.23;2.43;100;g
80;Alface, roxa, crua;0.91;0.19;#N/A;;2.01;7.12;2.49;100;g
81;Alfavaca, crua;2.66;0.48;0.10;;4.14;4.55;5.24;100;g
82;Alho, cru;7.01;0.22;#N/A;;4.32;5.36;23.91;100;g
83;Alho-poró, cru;1.41;0.14;#N/A;;2.51;1.76;6.88;100;g
84;Almeirão, cru;1.77;0.22;#N/A;;2.59;2.35;3.34;100;g
85;Almeirão, refogado;1.70;4.85;0.80;;3.43;14.52;5.70;100;g
86;Batata, baroa, cozida;0.85;0.17;#N/A;;1.76;2.10;18.95;100;g
87;Batata, baroa, crua;1.05;0.17;#N/A;;2.06;Tr;23.98;100;g
88;Batata, doce, cozida;0.64;0.09;#N/A;;2.21;2.70;18.42;100;g
89;Batata, doce, crua;1.26;0.13;#N/A;;2.57;8.77;28.20;100;g
90;Batata, frita, tipo chips, industrializada;5.58;36.62;12.90;;2.46;607.40;51.22;100;g
91;Batata, inglesa, cozida;1.16;Tr;#N/A;;1.34;2.29;11.94;100;g
92;Batata, inglesa, crua;1.77;Tr;#N/A;;1.16;Tr;14.69;100;g
93;Batata, inglesa, frita;4.97;13.11;2.10;;8.06;1.91;35.64;100;g
94;Batata, inglesa, sauté;1.29;0.90;0.30;;1.38;8.18;14.09;100;g
95;Berinjela, cozida;0.68;0.15;#N/A;;2.52;1.33;4.47;100;g
96;Berinjela, crua;1.22;0.10;#N/A;;2.87;Tr;4.43;100;g
97;Beterraba, cozida;1.29;0.09;#N/A;;1.88;22.76;7.23;100;g
98;Beterraba, crua;1.95;0.09;#N/A;;3.37;9.72;11.11;100;g
99;Biscoito, polvilho doce;1.29;12.25;2.40;;1.16;97.80;80.54;100;g
100;Brócolis, cozido;2.13;0.46;0.10;;3.42;2.12;4.37;100;g
101;Brócolis, cru;3.64;0.27;0.14;;2.88;3.33;4.03;100;g
102;Cará, cozido;1.53;0.11;#N/A;;2.63;1.01;18.85;100;g
103;Cará, cru;2.28;0.14;#N/A;;7.27;Tr;22.95;100;g
104;Caruru, cru;3.20;0.59;0.10;;4.47;13.67;5.97;100;g
105;Catalonha, crua;1.87;0.28;0.10;;2.05;9.39;4.75;100;g
106;Catalonha, refogada;1.95;4.81;0.71;;3.65;24.72;4.81;100;g
107;Cebola, crua;1.71;0.08;#N/A;;2.19;0.60;8.85;100;g
108;Cebolinha, crua;1.87;0.35;#N/A;;3.55;1.60;3.37;100;g
109;Cenoura, cozida;0.85;0.22;Tr;;2.63;7.88;6.69;100;g
110;Cenoura, crua;1.32;0.17;#N/A;;3.18;3.33;7.66;100;g
111;Chicória, crua;1.14;0.14;#N/A;;2.20;13.52;2.85;100;g
112;Chuchu, cozido;0.41;Tr;#N/A;;1.04;1.81;4.79;100;g
113;Chuchu, cru;0.70;0.06;#N/A;;1.28;Tr;4.14;100;g
114;Coentro, folhas desidratadas;20.88;10.39;#N/A;;37.29;18.26;47.96;100;g
115;Couve, manteiga, crua;2.87;0.55;0.12;;3.12;6.17;4.33;100;g
116;Couve, manteiga, refogada ;1.67;6.59;1.00;;5.74;11.45;8.71;100;g
117;Couve-flor, crua;1.91;0.21;#N/A;;2.35;3.44;4.52;100;g
118;Couve-flor, cozida;1.24;0.27;0.10;;2.13;1.79;3.88;100;g
119;Espinafre, Nova Zelândia, cru;2.00;0.24;#N/A;;2.10;17.09;2.57;100;g
120;Espinafre, Nova Zelândia, refogado;2.72;5.43;0.90;;2.52;47.02;4.24;100;g
121;Farinha, de mandioca, crua;1.55;0.28;0.10;;6.39;1.02;87.90;100;g
122;Farinha, de mandioca, torrada;1.23;0.29;0.10;;6.54;10.31;89.19;100;g
123;Farinha, de puba;1.62;0.47;0.23;;4.24;3.61;87.29;100;g
124;Fécula, de mandioca;0.52;0.28;#N/A;;0.65;2.45;81.15;100;g
125;Feijão, broto, cru;4.17;0.10;#N/A;;1.97;1.79;7.76;100;g
126;Inhame, cru;2.05;0.21;0.08;;1.65;Tr;23.23;100;g
127;Jiló, cru;1.40;0.22;0.07;;4.83;Tr;6.19;100;g
128;Jurubeba, crua;4.41;3.91;0.50;;23.92;0.77;23.06;100;g
129;Mandioca, cozida;0.58;0.30;0.10;;1.56;0.91;30.09;100;g
130;Mandioca, crua;1.13;0.30;0.06;;1.88;2.15;36.17;100;g
131;Mandioca, farofa, temperada;2.06;9.12;1.90;;7.82;574.51;80.30;100;g
132;Mandioca, frita;1.38;11.20;1.70;;1.87;8.94;50.25;100;g
133;Manjericão, cru;1.99;0.39;0.13;;3.31;3.89;3.64;100;g
134;Maxixe, cru;1.39;0.07;#N/A;;2.19;10.99;2.73;100;g
135;Mostarda, folha, crua;2.11;0.17;#N/A;;1.89;2.88;3.24;100;g
136;Nhoque, batata, cozido;5.86;1.94;0.56;;1.78;7.07;36.78;100;g
137;Nabo, cru;1.20;0.05;#N/A;;2.64;2.46;4.15;100;g
138;Palmito, juçara, em conserva;1.79;0.40;0.10;;3.15;513.82;4.33;100;g
139;Palmito, pupunha, em conserva;2.46;0.45;#N/A;;2.55;562.69;5.51;100;g
140;Pão, de queijo, assado;5.12;24.57;#N/A;;0.56;773.49;34.24;100;g
141;Pão, de queijo, cru;3.65;13.99;3.40;;0.98;404.99;38.51;100;g
142;Pepino, cru;0.87;Tr;#N/A;;1.12;Tr;2.04;100;g
143;Pimentão, amarelo, cru;1.22;0.44;#N/A;;1.92;Tr;5.96;100;g
144;Pimentão, verde, cru;1.05;0.15;#N/A;;2.56;Tr;4.89;100;g
145;Pimentão, vermelho, cru;1.04;0.15;#N/A;;1.59;Tr;5.47;100;g
146;Polvilho, doce;0.43;Tr;#N/A;;0.24;1.58;86.77;100;g
147;Quiabo, cru;1.92;0.30;#N/A;;4.55;0.89;6.37;100;g
148;Rabanete, cru;1.39;0.07;#N/A;;2.19;10.99;2.73;100;g
149;Repolho, branco, cru;0.88;0.14;#N/A;;1.89;3.64;3.86;100;g
150;Repolho, roxo, cru;1.91;0.06;#N/A;;1.97;2.34;7.20;100;g
151;Repolho, roxo, refogado;1.80;1.24;0.19;;1.75;3.42;7.56;100;g
152;Rúcula, crua;1.77;0.11;#N/A;;1.74;9.42;2.22;100;g
153;Salsa, crua;3.26;0.61;0.08;;1.85;2.30;5.71;100;g
154;Seleta de legumes, enlatada;3.42;0.35;0.12;;3.09;398.14;12.67;100;g
155;Serralha, crua;2.67;0.74;0.10;;3.52;19.35;4.95;100;g
156;Taioba, crua;2.90;0.93;0.20;;4.45;1.16;5.43;100;g
157;Tomate, com semente, cru;1.10;0.17;#N/A;;1.17;1.02;3.14;100;g
158;Tomate, extrato;2.43;0.19;#N/A;;2.80;497.93;14.96;100;g
159;Tomate, molho industrializado;1.38;0.90;0.10;;3.12;418.28;7.71;100;g
160;Tomate, purê;1.36;Tr;#N/A;;1.03;103.93;6.89;100;g
161;Tomate, salada;0.81;Tr;#N/A;;2.27;5.24;5.12;100;g
162;Vagem, crua;1.79;0.17;#N/A;;2.38;Tr;5.35;100;g
163;Abacate, cru;1.24;8.40;2.30;;6.31;Tr;6.03;100;g
164;Abacaxi, cru;0.86;0.12;#N/A;;0.99;Tr;12.33;100;g
165;Abacaxi, polpa, congelada;0.47;0.11;#N/A;;0.33;1.24;7.80;100;g
166;Abiu, cru;0.83;0.70;0.30;;1.70;Tr;14.93;100;g
167;Açaí, polpa, com xarope de guaraná e glucose;0.72;3.66;0.70;;1.72;15.10;21.46;100;g
168;Açaí, polpa, congelada;0.80;3.94;0.73;;2.55;5.18;6.21;100;g
169;Acerola, crua;0.91;0.21;#N/A;;1.51;Tr;7.97;100;g
170;Acerola, polpa, congelada;0.59;Tr;#N/A;;0.70;1.28;5.54;100;g
171;Ameixa, calda, enlatada ;0.41;Tr;#N/A;;0.52;2.70;46.89;100;g
172;Ameixa, crua;0.77;Tr;#N/A;;2.43;Tr;13.85;100;g
173;Ameixa, em calda, enlatada, drenada ;1.03;0.28;0.10;;4.55;2.79;47.66;100;g
174;Atemóia, crua;0.97;0.30;0.10;;2.14;0.79;25.33;100;g
175;Banana, da terra, crua;1.43;0.24;#N/A;;1.53;Tr;33.67;100;g
176;Banana, doce em barra;2.17;0.05;#N/A;;3.83;9.88;75.67;100;g
177;Banana, figo, crua;1.13;0.14;#N/A;;2.80;Tr;27.80;100;g
178;Banana, maçã, crua;1.75;0.06;#N/A;;2.59;Tr;22.34;100;g
179;Banana, nanica, crua;1.40;0.12;#N/A;;1.95;Tr;23.85;100;g
180;Banana, ouro, crua;1.48;0.21;#N/A;;1.95;Tr;29.34;100;g
181;Banana, pacova, crua;1.23;0.08;#N/A;;2.03;0.94;20.31;100;g
182;Banana, prata, crua;1.27;0.07;#N/A;;2.04;Tr;25.96;100;g
183;Cacau, cru;0.95;0.14;#N/A;;2.19;0.70;19.41;100;g
184;Cajá-Manga, cru;1.28;Tr;#N/A;;2.58;1.44;11.43;100;g
185;Cajá, polpa, congelada;0.59;0.17;#N/A;;1.36;6.95;6.37;100;g
186;Caju, cru;0.97;0.33;#N/A;;1.68;2.97;10.29;100;g
187;Caju, polpa, congelada;0.48;0.15;#N/A;;0.81;4.16;9.35;100;g
188;Caju, suco concentrado, envasado;0.40;0.20;#N/A;;0.63;45.04;10.73;100;g
189;Caqui, chocolate, cru;0.36;0.07;#N/A;;6.52;2.18;19.33;100;g
190;Carambola, crua;0.87;0.18;#N/A;;2.03;4.09;11.48;100;g
191;Ciriguela, crua;1.40;0.36;0.20;;3.90;1.68;18.86;100;g
192;Cupuaçu, cru;1.16;0.95;0.40;;3.12;3.20;10.43;100;g
193;Cupuaçu, polpa, congelada;0.84;0.59;0.30;;1.59;0.69;11.39;100;g
194;Figo, cru;0.97;0.16;#N/A;;1.79;Tr;10.25;100;g
195;Figo, enlatado, em calda;0.56;0.15;#N/A;;1.98;6.87;50.34;100;g
196;Fruta-pão, crua;1.08;0.19;0.10;;5.55;0.80;17.17;100;g
197;Goiaba, branca, com casca, crua;0.90;0.49;0.06;;6.33;Tr;12.40;100;g
198;Goiaba, doce em pasta;0.58;0.00;#N/A;;3.73;3.70;74.12;100;g
199;Goiaba, doce, cascão;0.41;0.10;#N/A;;4.37;11.03;78.70;100;g
200;Goiaba, vermelha, com casca, crua;1.09;0.44;0.05;;6.22;Tr;13.01;100;g
201;Graviola, crua;0.85;0.21;Tr;;1.91;4.16;15.84;100;g
202;Graviola, polpa, congelada;0.57;0.14;#N/A;;1.19;3.05;9.78;100;g
203;Jabuticaba, crua;0.61;0.13;#N/A;;2.30;Tr;15.26;100;g
204;Jaca, crua;1.40;0.27;0.10;;2.39;1.80;22.50;100;g
205;Jambo, cru;0.89;0.07;#N/A;;5.07;21.66;6.49;100;g
206;Jamelão, cru;0.55;0.11;#N/A;;1.78;1.37;10.63;100;g
207;Kiwi, cru;1.34;0.63;0.06;;2.65;Tr;11.50;100;g
208;Laranja, baía, crua;0.98;0.10;#N/A;;1.12;Tr;11.47;100;g
209;Laranja, baía, suco;0.65;Tr;#N/A;;Tr;Tr;8.70;100;g
210;Laranja, da terra, crua;1.08;0.19;#N/A;;3.98;0.83;12.86;100;g
211;Laranja, da terra, suco;0.67;0.14;#N/A;;1.03;Tr;9.57;100;g
212;Laranja, lima, crua;1.06;0.08;#N/A;;1.78;1.11;11.53;100;g
213;Laranja, lima, suco;0.71;0.12;#N/A;;0.42;Tr;9.17;100;g
214;Laranja, pêra, crua;1.04;0.13;#N/A;;0.77;Tr;8.95;100;g
215;Laranja, pêra, suco;0.74;0.07;#N/A;;Tr;Tr;7.55;100;g
216;Laranja, valência, crua;0.77;0.16;#N/A;;1.73;0.63;11.72;100;g
217;Laranja, valência, suco;0.48;0.12;#N/A;;0.42;Tr;8.55;100;g
218;Limão, cravo, suco;0.33;Tr;#N/A;;Tr;Tr;5.25;100;g
219;Limão, galego, suco;0.57;0.07;#N/A;;Tr;Tr;7.32;100;g
220;Limão, tahiti, cru;0.94;0.14;#N/A;;1.18;1.25;11.08;100;g
221;Maçã, Argentina, com casca, crua;0.23;0.25;0.10;;2.03;1.32;16.59;100;g
222;Maçã, Fuji, com casca, crua;0.29;Tr;#N/A;;1.35;Tr;15.15;100;g
223;Macaúba, crua;2.08;40.66;7.10;;13.44;0.65;13.95;100;g
224; Mamão, doce em calda, drenado;0.19;0.07;#N/A;;1.31;2.91;54.00;100;g
225;Mamão, Formosa, cru;0.82;0.12;#N/A;;1.81;3.26;11.55;100;g
226;Mamão, Papaia, cru;0.46;0.12;#N/A;;1.04;1.63;10.44;100;g
227; Mamão verde, doce em calda, drenado;0.32;0.10;#N/A;;1.23;4.74;57.64;100;g
228;Manga, Haden, crua;0.41;0.26;0.10;;1.58;0.55;16.66;100;g
229;Manga, Palmer, crua;0.41;0.17;#N/A;;1.63;1.86;19.35;100;g
230;Manga, polpa, congelada;0.38;0.23;0.10;;1.07;6.73;12.52;100;g
231;Manga, Tommy Atkins, crua;0.86;0.22;0.10;;2.07;Tr;12.77;100;g
232;Maracujá, cru;1.99;2.10;0.22;;1.14;1.58;12.26;100;g
233;Maracujá, polpa, congelada;0.81;0.18;#N/A;;0.51;8.10;9.60;100;g
234;Maracujá, suco concentrado, envasado;0.77;0.19;#N/A;;0.35;21.69;9.64;100;g
235;Melancia, crua;0.88;Tr;#N/A;;0.12;Tr;8.14;100;g
236;Melão, cru;0.68;Tr;#N/A;;0.25;11.17;7.53;100;g
237;Mexerica, Murcote, crua;0.88;0.13;#N/A;;3.07;1.17;14.86;100;g
238;Mexerica, Rio, crua;0.65;0.13;#N/A;;2.73;1.82;9.34;100;g
239;Morango, cru;0.89;0.31;#N/A;;1.72;Tr;6.82;100;g
240;Nêspera, crua;0.31;Tr;#N/A;;2.96;Tr;11.53;100;g
241;Pequi, cru;2.34;17.97;#N/A;;19.04;Tr;12.97;100;g
242;Pêra, Park, crua;0.24;0.23;0.10;;2.98;0.98;16.07;100;g
243;Pêra, Williams, crua;0.57;0.11;#N/A;;3.01;Tr;14.02;100;g
244;Pêssego, Aurora, cru;0.83;Tr;#N/A;;1.42;Tr;9.32;100;g
245;Pêssego, enlatado, em calda;0.71;Tr;#N/A;;1.02;3.20;16.88;100;g
246;Pinha, crua;1.49;0.32;0.10;;3.36;1.34;22.45;100;g
247;Pitanga, crua;0.93;0.17;#N/A;;3.24;1.70;10.24;100;g
248;Pitanga, polpa, congelada;0.29;0.12;#N/A;;0.74;5.03;4.76;100;g
249;Romã, crua;0.40;Tr;#N/A;;0.44;0.59;15.11;100;g
250;Tamarindo, cru;3.21;0.46;0.10;;6.45;0.36;72.53;100;g
251;Tangerina, Poncã, crua;0.85;0.07;#N/A;;0.94;Tr;9.61;100;g
252;Tangerina, Poncã, suco;0.52;Tr;#N/A;;Tr;Tr;8.80;100;g
253;Tucumã, cru;2.09;19.08;4.69;;12.65;3.89;26.47;100;g
254;Umbu, cru;0.84;Tr;#N/A;;1.98;Tr;9.40;100;g
255;Umbu, polpa, congelada;0.51;0.07;#N/A;;1.34;5.77;8.79;100;g
256;Uva, Itália, crua;0.75;0.20;#N/A;;0.92;Tr;13.57;100;g
257;Uva, Rubi, crua;0.61;0.16;#N/A;;0.93;7.92;12.70;100;g
258;Uva, suco concentrado, envasado;Tr;Tr;#N/A;;0.23;9.58;14.71;100;g
259;Azeite, de dendê;NA;100.00;43.10;;NA;0.00;NA;100;g
260;Azeite, de oliva, extra virgem;NA;100.00;14.90;;NA;0.00;NA;100;g
261;Manteiga, com sal;0.41;82.36;49.20;;NA;578.69;0.06;100;g
262;Manteiga, sem sal;0.40;86.04;51.50;;NA;3.85;0.00;100;g
263;Margarina, com óleo hidrogenado, com sal (65% de lipídeos);Tr;67.43;14.90;;NA;894.04;0.00;100;g
264;Margarina, com óleo hidrogenado, sem sal (80% de lipídeos);Tr;81.73;#N/A;;NA;77.89;0.00;100;g
265;Margarina, com óleo interesterificado, com sal (65%de lipídeos);Tr;67.25;21.90;;NA;560.80;0.00;100;g
266;Margarina, com óleo interesterificado, sem sal (65% de lipídeos);Tr;67.10;20.90;;NA;33.19;0.00;100;g
267;Óleo, de babaçu;NA;100.00;50.90;;NA;0.00;NA;100;g
268;Óleo, de canola;NA;100.00;7.90;;NA;0.00;NA;100;g
269;Óleo, de girassol;NA;100.00;10.80;;NA;0.00;NA;100;g
270;Óleo, de milho;NA;100.00;15.20;;NA;0.00;NA;100;g
271;Óleo, de pequi;NA;100.00;39.90;;NA;0.00;NA;100;g
272;Óleo, de soja;NA;100.00;15.20;;NA;0.00;NA;100;g
273;Abadejo, filé, congelado, assado;23.53;1.24;0.57;;NA;334.39;0.00;100;g
274;Abadejo, filé, congelado,cozido;19.35;0.94;0.38;;NA;189.34;0.00;100;g
275;Abadejo, filé, congelado, cru;13.08;0.36;0.10;;NA;78.52;0.00;100;g
276;Abadejo, filé, congelado, grelhado;27.61;1.30;0.55;;NA;305.09;0.00;100;g
277;Atum, conserva em óleo;26.19;6.00;1.00;;NA;362.15;0.00;100;g
278;Atum, fresco, cru;25.68;0.87;0.50;;NA;30.30;0.00;100;g
279;Bacalhau, salgado, cru;29.04;1.32;0.60;;NA;13585.06;0.00;100;g
280;Bacalhau, salgado, refogado;23.98;3.61;0.90;;*;1256.28;1.22;100;g
281;Cação, posta, com farinha de trigo, frita;24.95;9.95;1.50;;0.54;160.03;3.10;100;g
282;Cação, posta, cozida;25.59;0.75;0.20;;NA;114.91;0.00;100;g
283;Cação, posta, crua;17.85;0.79;0.10;;NA;176.02;0.00;100;g
284;Camarão, Rio Grande, grande, cozido;18.97;1.00;0.40;;NA;366.55;0.00;100;g
285;Camarão, Rio Grande, grande, cru;9.99;0.50;0.10;;NA;201.13;0.00;100;g
286;Camarão, Sete Barbas, sem cabeça, com casca, frito;18.39;15.62;2.47;;NA;99.06;2.88;100;g
287;Caranguejo, cozido;18.48;0.42;0.20;;NA;360.11;0.00;100;g
288;Corimba, cru;17.37;5.99;2.50;;NA;47.01;-0.03;100;g
289;Corimbatá, assado;19.90;19.57;4.80;;NA;40.43;0.00;100;g
290;Corimbatá, cozido;20.13;16.93;4.45;;NA;37.17;0.00;100;g
291;Corvina de água doce, crua;18.92;2.24;1.20;;NA;45.09;0.00;100;g
292;Corvina do mar, crua;18.57;1.58;0.70;;NA;67.97;0.00;100;g
293;Corvina grande, assada;26.77;3.57;1.50;;NA;85.35;0.00;100;g
294;Corvina grande, cozida;23.44;2.56;0.75;;NA;68.39;0.00;100;g
295;Dourada de água doce, fresca;18.81;5.64;2.97;;NA;40.30;0.00;100;g
296;Lambari, congelado, cru;16.81;6.55;2.00;;NA;47.92;0.00;100;g
297;Lambari, congelado, frito;28.43;22.78;5.50;;NA;64.55;0.00;100;g
298;Lambari, fresco, cru;15.65;9.40;3.40;;NA;41.11;0.00;100;g
299;Manjuba, com farinha de trigo, frita;23.45;22.59;5.46;;0.36;36.52;10.24;100;g
300;Manjuba, frita;30.14;24.46;5.30;;NA;40.61;0.00;100;g
301;Merluza, filé, assado;26.60;0.92;0.20;;NA;119.95;0.00;100;g
302;Merluza, filé, cru;16.61;2.02;0.90;;NA;79.50;0.00;100;g
303;Merluza, filé, frito;26.93;8.50;1.40;;NA;89.96;0.00;100;g
304;Pescada, branca, crua;16.26;4.59;0.80;;NA;76.17;0.00;100;g
305;Pescada, branca, frita;27.36;11.78;2.30;;NA;107.23;0.00;100;g
306;Pescada, filé, com farinha de trigo, frito;21.44;19.12;2.18;;Tr;90.51;5.03;100;g
